target,m,T,k_true,n_clusters,n_active,loss,max_da,max_db,active_leq_k
sin_1pi,50,1000,1,37,48,1.1625312781575183e-05,0.00023657697753930057,0.00012865504382883477,0
sin_1pi,100,200,1,45,93,0.0001535861203599452,0.0007733486282174896,0.0004110079531133282,0
sin_1pi,100,500,1,45,94,2.7660337335584226e-05,0.00023945690688583808,0.00012861002624547845,0
sin_1pi,100,1000,1,44,95,8.006294551793501e-06,0.00036856910262978733,0.0001345395644637552,0
sin_1pi,250,200,1,22,226,3.2440259953134506e-05,0.00034261913021188626,0.00013675162994386831,0
sin_1pi,250,500,1,22,226,1.1475483138376909e-05,0.00019572005194178188,6.172027623372299e-05,0
sin_1pi,250,1000,1,20,226,5.151758476828769e-06,0.0019152600719557424,0.0002945560462356223,0
sin_1pi,500,200,1,6,440,3.371534207128417e-05,0.0006725940344102498,0.00014854030618378426,0
sin_1pi,500,500,1,6,442,1.0752755387429804e-05,0.000524252094976935,9.019708160414554e-05,0
sin_1pi,500,1000,1,6,444,3.8375365177614304e-06,0.0002982590472280008,4.725845147887788e-05,0
sin_1pi,1000,200,1,1,780,1.618042826401974e-05,0.0003169834563931313,5.642665155852216e-05,0
sin_1pi,1000,500,1,1,772,9.08119920681151e-06,0.003159866168696744,0.00028711010954033566,0
sin_1pi,1000,1000,1,1,770,4.259666266562156e-06,0.002454928544839014,0.00022045251781171174,0
sin_1pi,1500,200,1,1,1108,9.381302978148467e-06,0.0005412066903395688,4.2235181604280785e-05,0
sin_1pi,1500,500,1,1,1101,7.543647875769937e-06,0.003736445466281928,0.00027932755401048327,0
sin_1pi,1500,1000,1,1,1098,2.9957916455900574e-06,0.0009567722363969402,7.774631626364163e-05,0
sin_2pi,50,200,3,13,50,0.007123225293022747,0.003299702989607954,0.003324846607299736,0
sin_2pi,50,500,3,26,50,0.0015326618287752427,0.0009995005840442005,0.0011561308949953502,0
sin_2pi,50,1000,3,35,50,0.00040766087449898116,0.001196509521038754,0.0015430301945286102,0
sin_2pi,100,200,3,26,97,0.0030753720733668844,0.001291875143973092,0.0009317274262633647,0
sin_2pi,100,500,3,29,98,0.0006663544009514309,0.0005585984427126437,0.000529168447246107,0
sin_2pi,100,1000,3,32,98,0.00017404804795678603,0.0005739989197524012,0.00058271422540414,0
sin_2pi,250,200,3,22,245,0.0005989513266218228,0.0008287090185527385,0.00045583507608334316,0
sin_2pi,250,500,3,13,246,0.00012509174950149684,0.006199783490034458,0.0018500782566005652,0
sin_2pi,250,1000,3,12,246,3.1052287174437754e-05,0.0018980807384886007,0.0006186333939278848,0
sin_2pi,500,200,3,7,474,0.0002512026282938194,0.0018360184235205366,0.0005002277736446828,0
sin_2pi,500,500,3,8,478,5.79483859123685e-05,0.002030965184501672,0.000447056250856822,0
sin_2pi,500,1000,3,7,477,1.7217769692941545e-05,0.0010545985380103874,0.00023480327802444497,0
sin_2pi,1000,200,3,2,915,0.0001079465100151996,0.0010990884607713467,0.0002774756335636206,0
sin_2pi,1000,500,3,2,918,2.897979962480125e-05,0.0009678227767142726,0.00017904547661684228,0
sin_2pi,1000,1000,3,2,919,1.44467130632791e-05,0.0050307944729716895,0.0007258060927809032,0
sin_2pi,1500,200,3,1,1383,4.785655132781694e-05,0.0013927497616721496,0.00018036265042599707,0
sin_2pi,1500,500,3,1,1387,2.339176575350256e-05,0.006502869027450973,0.0006008838157568135,0
sin_2pi,1500,1000,3,1,1388,8.069367828587283e-06,0.0028607125663727517,0.0002712883876939431,0
sin_3pi,50,200,5,9,49,0.06763276043583491,0.006223856796192655,0.0020219792377992383,0
sin_3pi,50,500,5,11,50,0.016854765749244424,0.002144553200629547,0.0017056079698723366,0
sin_3pi,50,1000,5,13,50,0.007418075796375794,0.0059868100295072104,0.011731199451048736,0
sin_3pi,100,200,5,9,100,0.018864148641100517,0.002003856719418499,0.001797472186603701,0
sin_3pi,100,500,5,16,100,0.006539421613503059,0.0015774753380481405,0.0014888207958338245,0
sin_3pi,100,1000,5,20,100,0.0035315928610743326,0.0025066370656757066,0.003043969960080563,0
sin_3pi,250,200,5,22,245,0.005243352048840847,0.0010023535260950923,0.000927163380399104,0
sin_3pi,250,500,5,23,247,0.0012442989940072064,0.0012583284307387532,0.0006666170621041639,0
sin_3pi,250,1000,5,16,249,0.00032865136731475734,0.002815532878285983,0.001533994118464883,0
